"treatment","I","gamma","m","lam","beta","stay","alpha"
3,1.51656142,1.9964041895,0.891147054,0.42997828335,0.832248005,1.716014444,1.9571533
3,2.29193256,2.8139292525,0.757676483,0.4139234728,0.946015034,0.626905255,1.9571533
3,0.973299046,2.3491800895,0.9119264025,0.27656668535,0.667723548,0.6586294652,1.9571533
3,1.1944390845,3.31752846,0.896877143,0.2960674086,0.557764809,2.578252665,1.9571533
3,1.0972556245,2.2011376565,0.7436917405,0.2818091468,0.9093015025,1.830014308,1.9571533
3,1.888532355,2.8207694895,0.7946299505,0.31059773805,0.634718824,1.0187399905,1.9571533
3,2.39347507,4.1950481,0.592489892,0.2751029121,0.7182511395,1.2402301035,1.9571533
3,1.353484102,1.6919125525,1.3989510275,0.3475099585,0.7831400315,1.6538920605,1.9571533
3,1.3404681505,2.033013504,0.7129818045,0.47079618905,0.623643553,1.488105938,1.9571533
3,2.092046625,2.0595232105,0.9967049725,0.76402883,0.524581103,0.6633820175,1.9571533
3,2.420990515,2.3801557715,1.000455902,0.3723344996,0.7492456185,1.0498597725,1.9571533
3,0.965999643,1.173531228,1.125912849,0.67090785275,0.6004287325,1.247622599,1.9571533
3,2.219343615,2.498155571,0.901667015,0.36636466585,0.706800451,1.0444568805,1.9571533
3,1.065488814,2.335296495,0.739048022,0.3025889102,0.9488835085,1.978609296,1.9571533
3,0.998395265,1.3256574835,0.7210521,0.59980746375,0.814343255,1.450825744,1.9571533
3,4.442969255,3.23835356,1.1397303715,1.644121925,0.2116872137,0.3223185635,1.9571533
3,1.079565152,3.250184395,0.704097409,0.22671583695,0.740415037,1.6668645365,1.9571533
3,0.8311938775,1.248374528,0.7479035382,0.59374765135,0.8676253125,1.6954844665,1.9571533
3,0.961079172,1.3843703795,0.8538759475,0.52089005025,0.6088553715,1.8775856845,1.9571533
3,2.3083376,2.8731938195,1.7846854695,0.39414661975,0.840293439,3.272731565,1.9571533
3,0.8775201705,3.029708127,0.7436896675,0.4761058825,0.4838788265,1.81354131,1.9571533
3,1.963978845,2.023620621,0.737133975,0.39608953155,0.8455533695,0.9114984945,1.9571533
3,1.316911026,1.9468751565,0.837553965,0.5671596797,0.5538241295,2.56327642,1.9571533
3,0.789388389,0.870060865,0.72632308695,0.56084420255,0.881855945,1.4375967425,1.9571533
3,1.4797979235,4.43354545,1.56523663,1.137461763,0.1552819355,0.952547433,1.9571533
3,1.9492282,1.615516862,0.91638027,0.5032524889,0.6859089325,0.838546054,1.9571533
3,2.752140265,1.117430597,0.6904774377,0.58911348045,1.011105359,0.4705099375,1.9571533
3,3.13414528,2.8037647165,0.875269902,0.4329646563,0.6321995855,0.994285719,1.9571533
3,2.923418005,2.1593145675,0.81979279,0.4131889173,0.783088125,0.819684079,1.9571533
3,2.79149362,2.3832892425,0.9976261715,0.9751334635,0.448050498,0.531320964,1.9571533
3,0.73966017,1.4146852285,0.8860286,0.4944254412,0.640525383,1.5124161315,1.9571533
3,1.404934595,1.356225802,0.7085488145,0.6789849766,0.7044241365,3.118247745,1.9571533
3,1.948545435,1.8522948665,0.801231468,0.6250382625,0.5353091185,0.8545058165,1.9571533
3,4.61193418,2.6466267275,0.807197879,0.5686737782,0.5667140695,1.22857697,1.9571533
3,2.49462378,1.734289306,0.7512241635,0.72662509655,0.5405374271,0.4332654635,1.9571533
3,2.12194999,1.9387923695,1.0321866885,0.54491867645,0.6023168945,0.996262543,1.9571533
3,0.791410759,1.2045830495,0.6842634817,0.59099039435,0.7447064215,1.335548183,1.9571533
3,2.30552845,1.9324866105,0.7393720275,0.4680744384,0.7687524085,1.531627992,1.9571533
3,0.9482007125,1.6756741175,0.843298045,0.38367716185,0.818086458,1.4512542545,1.9571533
3,2.423443825,2.152383039,0.9516184175,0.5504704299,0.7640678935,0.810536643,1.9571533
3,0.839377504,2.173943508,0.745351659,0.585584935,0.5095917115,1.3421000175,1.9571533
3,0.9127273235,0.828052278,0.67610711895,0.57336509365,0.947101098,1.22969376005,1.9571533
3,2.527211545,3.53993117,0.488475453,0.4266847368,0.65954206315,0.566832978,1.9571533
3,2.90163728,2.6262298325,0.7604604465,0.5226528817,0.6093710115,0.9433446935,1.9571533
3,2.013148285,1.636957902,1.1298875005,0.58562696365,0.556511654,1.3834593545,1.9571533
3,0.9611092855,1.2505271535,0.8174065005,0.7444316965,0.5281627365,1.1871952285,1.9571533
3,2.61000088,1.5969668185,0.65995854475,0.6808228724,0.62487675115,0.4833931405,1.9571533
3,3.93251706,4.068177475,1.010078471,1.0387488815,0.371204852,0.607173327,1.9571533
3,0.8015467955,1.428454362,0.8407116975,0.3799200137,0.8933512805,1.2511927425,1.9571533
3,0.8019160465,1.382166647,0.55153410395,0.5622143402,0.666346233,1.4726521505,1.9571533
3,2.064243265,1.334656455,0.55051864965,0.5431427684,0.733001395,0.9905956175,1.9571533
3,1.57159517,3.0320803155,0.7680084015,0.24834324945,0.7217829995,1.257365118,1.9571533
3,0.935463758,2.55517894,0.745505331,0.3708817207,0.570134453,0.85656610575,1.9571533
3,2.093381205,3.85863678,1.043636752,0.572872938,0.3430188555,0.4606341225,1.9571533
3,1.798149445,2.045650253,1.290530695,0.715374955,0.520701651,0.9177865795,1.9571533
3,1.113803827,2.0755991575,1.100203008,0.201287464935,0.933154894,0.57288268525,1.9571533
3,2.023918585,1.877216337,0.54964837,0.5451993488,0.629675512,0.6311171495,1.9571533
3,1.0108701015,1.222638885,0.668747513,0.4687715005,0.750835637,0.61169625245,1.9571533
3,1.62155475,3.1665828,0.66615896,0.2924255145,0.8285576725,1.448558852,1.9571533
3,1.7982202,1.723928764,0.891334862,0.394569839,0.8079476015,1.2381685075,1.9571533
3,1.55897365,3.93867494,0.8668343105,0.2739080671,0.470195392,1.7372896865,1.9571533
3,1.629515535,2.8739683715,0.6562094205,0.2903824628,0.612938429,1.578504471,1.9571533
3,3.260397175,2.382647008,0.67622885,0.5703761903,0.666999519,0.5478921675,1.9571533
3,2.470855745,3.3951930255,1.043049285,0.9419535685,1.4187575745,1.694128215,1.9571533
3,2.57723637,2.1263654845,0.62050098,0.5872924959,0.687656542,0.533023701,1.9571533
3,1.0313506555,2.071922549,1.017997706,0.4523643883,0.5731237795,1.1214773815,1.9571533
3,2.026829565,2.718154091,1.581801121,0.9057519505,0.644424528,0.7986689045,1.9571533
3,5.22084401,3.3867127545,0.8315613785,0.914552379,0.3378248949,0.915768832,1.9571533
3,2.09103512,3.70830194,0.751759341,0.40843810455,0.529703376,0.738006986,1.9571533
3,3.3631437,5.11807491,0.8026916465,0.1879404975,0.843583944,0.5702283765,1.9571533
3,1.95817079,2.304590735,1.4053534505,1.208853682,0.2866363477,0.8013996375,1.9571533
3,2.25563209,3.889977505,0.6386851645,0.50743177265,0.40950314455,0.6332163675,1.9571533
3,1.9430304715,6.831528135,1.3102758615,1.5256296405,0.08610638125,2.2229907365,1.9571533
3,1.34609844,2.042508712,0.8610491685,0.32094823975,0.933725412,0.663598489,1.9571533
3,2.25399353,2.325585901,1.572314982,0.849820594,0.3888185752,1.148736923,1.9571533
3,1.744295595,2.9230615185,0.9525926265,0.28798097575,0.744638072,0.9032424465,1.9571533
3,2.063896005,2.471143779,1.4781396395,0.540316499,0.5344628365,0.77801144,1.9571533
3,2.4330522,1.2820909741,0.6988745793,0.5372829241,0.8002507225,0.7748147905,1.9571533
3,0.8790942835,0.9248228255,0.59837936655,0.57398823805,0.7863955585,0.8355144443,1.9571533
3,2.01659769,2.784670265,0.706125581,0.40738597805,0.591317004,0.7980540315,1.9571533
3,0.8264094825,1.3853439055,1.0237087695,0.4499289263,0.7091890945,1.0716400665,1.9571533
3,3.60505849,3.305899658,0.781532746,1.2585001545,0.27385342305,0.3967972715,1.9571533
3,3.06207299,2.6274596945,0.8611687635,0.71230689985,1.347507022,0.4481587285,1.9571533
3,2.34032954,3.44991621,1.106700596,0.477008715,0.472730888,0.877643058,1.9571533
3,2.80067775,3.3881578985,0.749072412,0.46667205805,0.544656331,0.73903019,1.9571533
3,2.03598858,2.2386118565,0.817598967,0.41234425545,0.616936402,0.928903723,1.9571533
3,1.79353725,3.978337135,0.9409298285,0.3350782252,0.5350533645,0.945185324,1.9571533
3,0.9078191125,3.12571899,0.797629065,0.26611960135,0.5405996945,1.115179398,1.9571533
3,1.637751095,1.4142890575,0.77203694635,0.54959968855,0.735645739,2.12238022,1.9571533
3,1.598012075,1.349480975,0.8449034745,0.5091037278,0.8761169965,1.667646731,1.9571533
3,2.1706872,1.7825937805,1.0018154695,0.7184585244,0.49056155,0.5864140025,1.9571533
3,3.062007455,4.714897119,0.5521988515,0.34127270725,0.565594051,0.263948904,1.9571533
3,2.8533796,2.961876637,0.9893864085,0.44553261005,0.726576622,0.5343168905,1.9571533
3,2.61945577,3.1197815445,0.931792703,0.6450458175,0.3841798546,0.633719905,1.9571533
3,2.33272588,1.741998633,0.703212545,0.4207285016,0.8516325635,1.1619557425,1.9571533
3,2.37806172,2.400014644,1.085085371,0.31904400245,0.6912681275,0.8339390995,1.9571533
3,1.93133022,3.51148353,0.735558451,0.36943877015,0.534379909,1.3573837345,1.9571533
3,2.968074815,3.3347213735,0.807249499,0.35908725875,0.638168619,0.716917461,1.9571533
3,1.1325225245,1.338460539,0.9152890155,0.38831305175,0.8482779865,2.0547123115,1.9571533
3,3.93360935,4.056469355,0.8512259285,0.5961809775,0.387850714,0.3688545115,1.9571533
3,3.147260945,3.6008077575,0.853192723,0.40770762845,0.5465300275,0.7857177925,1.9571533
3,2.083503075,3.69765713,1.0855116825,0.21870426695,0.734608314,1.3833185055,1.9571533
3,2.55498502,2.985128525,1.333302135,0.4026736332,0.617721037,0.873788,1.9571533
3,3.425798925,3.2361911315,0.688183962,0.32162552205,0.789190593,0.538436154,1.9571533
3,1.311837072,1.6311806295,0.9648348085,0.4461539814,0.572874219,0.8121552115,1.9571533
3,2.074916755,3.386848875,0.7463036215,0.7336149045,0.39782909,0.7998152385,1.9571533
3,0.722745022,2.7812337,0.605994999,0.2966483854,0.699327995,1.4890114275,1.9571533
3,1.876067275,1.945740187,0.8100835785,0.666342618,1.234951521,0.875043578,1.9571533
3,2.58263103,1.815846441,0.7889515605,0.64402165065,0.63611416,1.0027293095,1.9571533
3,1.72608122,2.2440378245,0.755444329,0.54046945515,0.6152070005,1.146962227,1.9571533
3,0.718751628,1.154108964,0.9466048225,0.6387936875,0.522863254,1.427962497,1.9571533
3,1.184985905,1.3731736815,0.672700291,0.6408809344,0.660872408,1.704065583,1.9571533
3,2.020719645,3.8078802,0.765511892,0.2095102024,0.7981298825,0.887576184,1.9571533
3,2.93931747,4.04990095,0.6874463845,0.27346814505,0.672699203,1.017891846,1.9571533
3,1.204619786,2.0482734875,0.8786402,0.37583954775,0.660591466,2.1255382215,1.9571533
3,2.22220303,1.889557216,0.863528239,0.5037640994,0.6722745865,3.15945795,1.9571533
3,0.971965091,1.5940903855,0.6407706095,0.4185068309,0.780612933,1.823304642,1.9571533
3,0.8034869225,1.8064684695,1.1232093515,0.4502243405,0.485586733,1.717344313,1.9571533
3,1.0542144545,2.240018721,0.8225983475,0.480881883,0.5509734795,2.056260277,1.9571533
3,1.59135169,1.9198744415,0.9522591615,0.52607043435,0.597233421,1.734045072,1.9571533
3,2.3277089,3.320103584,0.7315327225,0.4735684082,0.51003436045,1.1372892325,1.9571533
3,0.993971583,1.670942097,0.8873116455,0.44798254745,0.755860011,1.4696412805,1.9571533
3,2.609312775,2.016853505,0.87547676,0.48237906645,0.6762605415,1.0098768615,1.9571533
3,0.7530976275,1.3938942065,0.7305289475,0.58399099415,0.527284719,1.3434704115,1.9571533
3,0.9412501615,1.5703016125,1.226606007,0.5629305415,0.5861789005,2.1682365115,1.9571533
3,0.6677628805,1.657576049,0.8403416905,0.33902536125,0.7985015205,1.3119402335,1.9571533
3,2.67017573,3.13687279,1.1161169205,0.7274078605,0.3822943955,0.385426518,1.9571533
3,3.93263882,2.0963294445,0.9838891995,0.5977297612,0.653243027,0.3518074955,1.9571533
3,1.160426294,1.4075930565,0.588859711,0.5596107981,0.6830688215,1.1239908585,1.9571533
3,0.829358083,1.247445481,0.8422158835,0.4980154741,0.863111105,1.7600790005,1.9571533
3,2.497877055,2.885340431,0.6866244125,0.45434795115,1.1889605015,0.481428171,1.9571533
3,0.9774484695,2.6272073755,0.805938274,0.48773454115,0.4959450095,1.3041576235,1.9571533
3,0.846943455,1.7658138765,0.682518512,0.37311534865,0.6454099675,1.16441134795,1.9571533
3,1.510606095,1.1227254715,1.137734575,0.8152749595,0.504533603,0.6830634085,1.9571533
3,2.544634525,3.885433919,0.6031749985,0.29967410005,0.8429547765,0.6212268505,1.9571533
3,2.85884177,5.90396886,0.688790842,0.39211771475,0.3880055845,0.6536830825,1.9571533
3,3.14335852,5.17713486,0.6810344215,0.6815080125,0.3360835908,0.659658075,1.9571533
3,3.438835125,1.8461897515,0.70329685395,0.50771917825,0.815419035,0.791750171,1.9571533
3,4.391822855,2.345049557,0.814571339,0.51989293165,0.849128198,0.664244773,1.9571533
3,2.09132601,2.712258288,0.97941997,0.429553077,0.458637828,0.625288433,1.9571533
3,2.439579405,2.2162842835,0.7292098485,0.43216077875,0.8445736415,0.5253004105,1.9571533
3,2.959384245,2.087230998,0.778120044,0.43170643675,0.7283573215,1.673482612,1.9571533
3,2.08657259,2.3244419495,0.906216583,0.45676569465,0.671794815,0.839791035,1.9571533
3,0.7656219575,1.1972624485,1.166532734,0.3855107638,0.8699268225,1.15785511555,1.9571533
3,5.404280665,1.821596739,0.6750180273,0.7427190597,0.55342087955,0.5084082015,1.9571533
3,1.574586735,2.7269495875,0.7282364855,0.36501932835,0.55294402785,2.0727526935,1.9571533
3,2.81123884,2.909721854,0.826430696,0.37464029495,0.762822427,0.8986435465,1.9571533
3,1.259490129,2.5580388325,1.2369216925,0.481315554,0.6249263005,1.8609430865,1.9571533
3,1.271162813,1.68057517,0.684839067,0.4027905207,0.7603742875,0.864897974,1.9571533
3,1.65542533,2.069894307,0.9777594985,0.43816896915,0.6708838715,1.486137429,1.9571533
3,0.8594233555,1.696128043,0.7002436665,0.5696742486,0.7300802435,1.7895744915,1.9571533
3,1.52650908,2.0149785825,0.74815249,0.53096878065,0.593340479,0.7863340105,1.9571533
3,2.052809315,4.136367405,0.7326431505,0.192046964,0.866990922,0.759160637,1.9571533
3,2.39229663,2.66239192,0.635674796,0.42574145735,0.690612622,0.7430733395,1.9571533
3,2.491604295,4.321970825,0.7443647685,0.2570422466,0.65292908,0.5571160585,1.9571533
3,0.7016742495,2.86600761,0.921532649,0.23352506415,0.5866320375,1.3540889635,1.9571533
3,1.67039845,1.927118243,0.756416971,0.44876392495,0.736263375,1.2611026605,1.9571533
3,0.9673734165,2.210744725,0.691065395,0.42851724875,0.6871898635,1.8605052165,1.9571533
3,2.72066598,3.34507131,1.226498515,0.3116509178,0.6673893645,0.8832784015,1.9571533
3,1.151952365,2.3404326035,1.0546430525,0.23075579865,0.689996156,1.3696488555,1.9571533
3,0.8625874485,2.7011596775,0.759192837,0.40484612275,0.5423462285,0.95559974195,1.9571533
3,1.5098669,2.250148472,0.7349265945,0.52567087385,0.5363921305,0.8945737685,1.9571533
3,2.81459555,1.862272676,0.652544149,0.5980996042,1.1077492545,0.665847437,1.9571533
3,1.43295916,2.0704463685,0.6536645335,0.2887019851,0.729400158,2.14099351,1.9571533
3,2.67359277,2.95278218,1.186632071,0.7325052185,0.495755375,0.7975471365,1.9571533
3,1.261049009,2.19207532,0.6827375085,0.3155770848,0.8329326425,0.9232642495,1.9571533
3,1.66694042,4.745599805,0.4679407875,0.208015272,0.806717295,0.5704478195,1.9571533
3,1.90930998,2.4501723625,0.763220547,0.57711546125,0.564532498,1.820966395,1.9571533
3,2.157786395,2.88212764,1.245812302,0.531108379,0.518555312,1.855859215,1.9571533
3,4.33598099,2.944392101,0.5846340575,0.4733395282,0.67287112,0.331811063,1.9571533
3,2.17656618,4.718249535,0.7558424635,0.3559691089,0.4730500875,0.727061122,1.9571533
3,0.7350242065,1.3750962905,0.7768642915,0.38327658475,0.719622213,1.410883255,1.9571533
3,0.9267085465,1.0964125035,0.745195775,0.5937864748,0.662985909,1.8042599275,1.9571533
3,1.031387933,1.9723417195,0.7978307885,0.36908367785,0.7177088375,0.834559635,1.9571533
3,1.93903379,2.202828589,0.9769860895,0.662501362,0.5379866915,0.6202529305,1.9571533
3,1.578418365,1.9320077875,1.319125192,0.59953600245,0.655342098,0.9071618335,1.9571533
3,0.943550108,1.1693844515,1.2538833515,0.59154304865,0.9044834635,1.76663847,1.9571533
