"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"54",-5414.82,-3.04726,1.3166,3.0634,3.83446,3.20273,0.695723,1.43478,1,0,0,1,54,1,1
"55",-5419.21,-1.70257,1.31645,2.81326,3.90337,3.06668,0.696532,1.43272,1,0,0,1,55,1,1
"56",-5412.93,-3.43136,1.32181,2.55598,3.78593,3.21878,0.696746,1.44808,1,0,0,1,56,1,1
"57",-5413.66,-2.13251,1.31743,2.9902,3.75929,3.17318,0.693442,1.43349,1,0,0,1,57,1,1
"58",-5414.49,-3.59464,1.32898,2.655,3.75957,3.04917,0.684001,1.43965,1,0,0,1,58,1,1
"59",-5418.21,-3.50501,1.32025,2.70663,3.69853,2.96377,0.708639,1.45864,1,0,0,1,59,1,1
"60",-5429.74,-3.01675,1.34088,2.78557,3.77876,3.07918,0.718322,1.42838,1,0,0,1,60,1,1
"61",-5422.69,-4.91189,1.3046,2.71823,4.00055,3.11855,0.699524,1.42858,1,0,0,1,61,1,1
"62",-5418.7,-1.35995,1.31193,2.67477,3.70623,3.02272,0.711294,1.43542,1,0,0,1,62,1,1
"63",-5428.44,-4.91989,1.33992,3.1718,3.69193,3.03687,0.717211,1.42702,1,0,0,1,63,1,1
"64",-5423.99,-4.06362,1.31763,3.01721,3.81714,2.96278,0.693164,1.41129,1,0,0,1,64,1,1
"65",-5422.1,-2.21971,1.31684,2.9732,3.87889,3.15532,0.707407,1.42224,1,0,0,1,65,1,1
"66",-5429.11,-2.15478,1.33314,2.57901,3.81691,3.0279,0.713772,1.43383,1,0,0,1,66,1,1
"67",-5418.9,-2.79026,1.31991,2.86508,3.72471,3.22434,0.718359,1.42572,1,0,0,1,67,1,1
"68",-5419.87,-2.16046,1.30803,2.90472,3.81011,3.11566,0.713464,1.43486,1,0,0,1,68,1,1
"69",-5417.26,-1.27823,1.32288,2.67206,3.64263,3.06691,0.701787,1.42118,1,0,0,1,69,1,1
"70",-5437.82,-3.56461,1.32122,2.7651,3.93592,3.01041,0.720822,1.42825,1,0,0,1,70,1,1
"71",-5414.43,-2.68212,1.31482,2.80749,3.82345,3.1216,0.700272,1.45468,1,0,0,1,71,1,1
"72",-5418.7,-2.51827,1.32502,2.45951,3.78324,3.06412,0.695982,1.43625,1,0,0,1,72,1,1
"73",-5428.13,-3.97748,1.33892,2.89698,3.76719,3.14827,0.705225,1.4077,1,0,0,1,73,1,1
"74",-5420.84,-2.13155,1.32254,2.65632,3.93163,3.13063,0.700124,1.43431,1,0,0,1,74,1,1
"75",-5420.82,-3.29248,1.34072,2.69189,3.63945,3.07989,0.696601,1.42072,1,0,0,1,75,1,1
"76",-5415.51,-0.94704,1.32314,2.68953,3.75855,3.17321,0.7073,1.43878,1,0,0,1,76,1,1
"77",-5419.53,-3.17394,1.32544,2.54095,3.75415,3.07374,0.689785,1.41852,1,0,0,1,77,1,1
"78",-5426.88,-1.38137,1.3166,2.87502,3.81572,2.97426,0.711653,1.42701,1,0,0,1,78,1,1
"79",-5413.68,-2.55578,1.31812,2.69786,3.78904,3.05474,0.692699,1.45108,1,0,0,1,79,1,1
"80",-5416.07,-2.21403,1.33514,3.00763,3.70886,3.10624,0.699884,1.44252,1,0,0,1,80,1,1
"81",-5421.84,-2.4327,1.33397,2.89127,3.77445,2.92479,0.696491,1.43674,1,0,0,1,81,1,1
"82",-5428.7,-1.88753,1.3334,2.78209,3.74873,2.92916,0.710699,1.4293,1,0,0,1,82,1,1
"83",-5415.21,-2.2999,1.32884,2.78421,3.7492,3.17681,0.70925,1.4513,1,0,0,1,83,1,1
"84",-5421.49,-0.499377,1.32073,2.74129,3.75473,3.0375,0.705397,1.42132,1,0,0,1,84,1,1
"85",-5416.89,-3.74192,1.32561,3.04285,3.73865,2.91964,0.690176,1.4392,1,0,0,1,85,1,1
"86",-5430.26,-8.16066,1.29604,3.1066,3.88379,2.88565,0.708995,1.4412,1,0,0,1,86,1,1
"87",-5414.82,-6.93319,1.29714,2.98357,3.76322,3.19653,0.700382,1.45594,1,0,0,1,87,1,1
"88",-5417.16,-1.57279,1.3272,2.67957,3.60544,3.06353,0.705033,1.42486,1,0,0,1,88,1,1
"89",-5415.22,-4.98893,1.3271,2.97096,3.91139,3.17448,0.694591,1.45541,1,0,0,1,89,1,1
"90",-5416.56,-3.86609,1.30865,2.59014,3.84484,3.19553,0.695773,1.4202,1,0,0,1,90,1,1
"91",-5417.24,-2.68931,1.32931,2.46781,3.73537,3.13262,0.69635,1.43271,1,0,0,1,91,1,1
"92",-5421.07,-4.26642,1.3269,2.88549,3.77737,3.29004,0.719171,1.4246,1,0,0,1,92,1,1
"93",-5416.97,-2.24821,1.33009,2.70437,3.74788,2.97657,0.695373,1.44747,1,0,0,1,93,1,1
