"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"233",-5425.8,-3.74679,1.31768,2.88904,3.80502,2.88657,0.709276,1.45166,1,0,0,1,233,1,1
"234",-5420.77,-2.68552,1.31251,2.69685,3.69878,3.10169,0.72086,1.42783,1,0,0,1,234,1,1
"235",-5418.52,-3.06866,1.31939,3.06278,3.80226,3.19546,0.698211,1.41754,1,0,0,1,235,1,1
"236",-5417.85,-7.15956,1.31917,2.52933,3.60775,3.16178,0.679576,1.425,1,0,0,1,236,1,1
"237",-5412.92,-1.20415,1.31164,2.83929,3.6806,3.0779,0.699304,1.43712,1,0,0,1,237,1,1
"238",-5415.92,-0.968801,1.32827,2.81625,3.65327,3.01321,0.701723,1.43706,1,0,0,1,238,1,1
"239",-5423.96,-2.00216,1.33563,2.6943,3.70652,3.06622,0.703275,1.41602,1,0,0,1,239,1,1
"240",-5414.66,-1.24288,1.32709,2.74638,3.63014,3.09495,0.69767,1.43008,1,0,0,1,240,1,1
"241",-5426.46,-1.93743,1.32895,2.88336,3.72086,2.98019,0.706178,1.41418,1,0,0,1,241,1,1
"242",-5421.3,-1.15146,1.32276,2.69731,3.83582,2.99747,0.702369,1.44249,1,0,0,1,242,1,1
"243",-5419.51,-5.67371,1.31087,2.48695,3.63489,3.10008,0.724177,1.4369,1,0,0,1,243,1,1
"244",-5415.16,-5.03224,1.32255,2.6884,3.58435,2.95842,0.708874,1.45927,1,0,0,1,244,1,1
"245",-5421.51,-3.92643,1.31545,3.09738,3.65116,2.89399,0.70932,1.43214,1,0,0,1,245,1,1
"246",-5433.21,-4.57893,1.3371,3.18435,3.81109,3.03464,0.714225,1.41989,1,0,0,1,246,1,1
"247",-5419.3,-2.40245,1.32264,2.68291,3.7756,3.0943,0.691908,1.4144,1,0,0,1,247,1,1
"248",-5426.61,-1.33511,1.33306,2.91414,3.79815,2.9877,0.708266,1.42972,1,0,0,1,248,1,1
"249",-5413.47,-2.13037,1.31553,2.66111,3.80085,3.10207,0.691145,1.43998,1,0,0,1,249,1,1
"250",-5414.15,-1.81025,1.31441,3.02614,3.71899,3.1501,0.703113,1.43973,1,0,0,1,250,1,1
"251",-5421.86,-1.19389,1.32348,2.70863,3.88726,3.12241,0.703197,1.42746,1,0,0,1,251,1,1
"252",-5416.66,-1.77385,1.31772,2.69419,3.85483,3.06099,0.692491,1.43531,1,0,0,1,252,1,1
"253",-5412.69,-2.31184,1.3144,2.81542,3.59973,3.0385,0.694174,1.43296,1,0,0,1,253,1,1
"254",-5420.97,-2.96575,1.32181,2.95077,3.7178,3.14158,0.722617,1.43595,1,0,0,1,254,1,1
"255",-5419.92,-2.09288,1.32466,2.66011,3.88909,3.04261,0.693206,1.43529,1,0,0,1,255,1,1
"256",-5415.49,-0.788948,1.32472,2.74396,3.75293,3.03748,0.695746,1.43898,1,0,0,1,256,1,1
"257",-5428.97,-1.31003,1.32173,2.76886,3.88464,2.99423,0.709581,1.42954,1,0,0,1,257,1,1
"258",-5423.95,-4.53607,1.32386,2.69009,3.75037,3.22174,0.706743,1.40239,1,0,0,1,258,1,1
"259",-5412.57,-1.9362,1.31983,2.68827,3.58711,3.10652,0.705641,1.44006,1,0,0,1,259,1,1
"260",-5416.79,-0.738295,1.32204,2.72877,3.81432,3.08834,0.69603,1.4315,1,0,0,1,260,1,1
"261",-5426.51,-3.2095,1.33825,2.72494,3.83145,3.09365,0.716794,1.44458,1,0,0,1,261,1,1
"262",-5435.35,-3.65955,1.32333,2.71011,3.97896,2.98454,0.713372,1.44098,1,0,0,1,262,1,1
"263",-5414.94,-5.85073,1.32101,3.07563,3.46547,3.01765,0.705114,1.43818,1,0,0,1,263,1,1
"264",-5425.7,-1.48524,1.3311,2.71694,3.86398,3.10859,0.705641,1.42186,1,0,0,1,264,1,1
"265",-5420.6,-2.08001,1.32922,2.80162,3.89518,3.12207,0.695029,1.42543,1,0,0,1,265,1,1
"266",-5426.76,-3.96408,1.31112,3.03199,3.94917,3.08604,0.70577,1.41907,1,0,0,1,266,1,1
"267",-5416.92,-0.974696,1.32462,2.74218,3.63374,3.06192,0.709978,1.43125,1,0,0,1,267,1,1
"268",-5428.35,-2.19046,1.33216,2.75131,3.82749,3.02973,0.717234,1.44082,1,0,0,1,268,1,1
"269",-5426.14,-2.3711,1.32776,2.69076,3.70387,2.8901,0.703657,1.42319,1,0,0,1,269,1,1
"270",-5440.55,-3.98557,1.33345,2.82613,3.90736,2.88898,0.713209,1.4303,1,0,0,1,270,1,1
"271",-5424.42,-1.71877,1.33023,2.61769,3.81758,3.14107,0.710883,1.42441,1,0,0,1,271,1,1
"272",-5418.08,-5.05055,1.3111,2.59556,3.85939,3.21898,0.693783,1.41279,1,0,0,1,272,1,1
"273",-5420.9,-1.63724,1.33152,2.94274,3.80491,3.16049,0.703201,1.42267,1,0,0,1,273,1,1
"274",-5414.77,-0.942218,1.31704,2.76445,3.72348,3.01981,0.699933,1.44343,1,0,0,1,274,1,1
"275",-5413.55,-6.96496,1.30678,2.89504,3.77296,3.12209,0.69219,1.46682,1,0,0,1,275,1,1
"276",-5416.36,-3.31047,1.31249,2.71934,3.58697,2.94,0.710031,1.43984,1,0,0,1,276,1,1
"277",-5420.95,-3.1705,1.33465,2.78559,3.61226,2.9041,0.70361,1.43244,1,0,0,1,277,1,1
"278",-5443.57,-5.22396,1.31868,2.6871,3.91727,2.9481,0.725569,1.42821,1,0,0,1,278,1,1
"279",-5418.41,-3.18375,1.31145,3.04547,3.62413,2.96587,0.707678,1.42569,1,0,0,1,279,1,1
"280",-5418.98,-2.61335,1.32667,2.83159,3.62034,2.91718,0.698433,1.42511,1,0,0,1,280,1,1
"281",-5413.9,-1.09411,1.32127,2.88467,3.67573,3.07124,0.694675,1.43189,1,0,0,1,281,1,1
"282",-5417.29,-4.82662,1.32057,3.23633,3.75931,3.24414,0.695316,1.43151,1,0,0,1,282,1,1
"283",-5412.88,-4.85668,1.31371,2.76325,3.57027,2.96166,0.686809,1.43374,1,0,0,1,283,1,1
"284",-5414.39,-1.58404,1.32213,2.9688,3.63186,3.1467,0.705047,1.43492,1,0,0,1,284,1,1
"285",-5436.57,-4.95005,1.32253,2.52323,3.77541,2.84922,0.7064,1.41451,1,0,0,1,285,1,1
"286",-5415.81,-4.28856,1.32253,2.83203,3.69374,3.33138,0.694545,1.42602,1,0,0,1,286,1,1
"287",-5415.22,-1.23407,1.33119,2.74117,3.71535,3.18539,0.703277,1.43593,1,0,0,1,287,1,1
"288",-5414.24,-1.71852,1.32734,2.75229,3.60792,3.04407,0.705678,1.44342,1,0,0,1,288,1,1
"289",-5417.63,-2.23877,1.31654,2.72503,3.68178,3.18529,0.712797,1.41914,1,0,0,1,289,1,1
"290",-5421.97,-2.28992,1.33325,2.77601,3.69328,3.14757,0.71734,1.42596,1,0,0,1,290,1,1
"291",-5417,-2.60176,1.31454,2.48931,3.65095,3.06714,0.702699,1.42467,1,0,0,1,291,1,1
"292",-5418.91,-4.3531,1.33024,2.57075,3.7966,3.11218,0.709332,1.46055,1,0,0,1,292,1,1
"293",-5415.21,-1.37982,1.30736,2.74726,3.75581,3.07702,0.699817,1.43013,1,0,0,1,293,1,1
"294",-5416.48,-5.29046,1.32496,2.50336,3.691,3.28093,0.719188,1.43556,1,0,0,1,294,1,1
"295",-5417.23,-0.804552,1.31816,2.73818,3.82534,3.11757,0.698688,1.42773,1,0,0,1,295,1,1
"296",-5429.97,-6.28956,1.3347,3.16147,3.92407,2.92328,0.692555,1.42477,1,0,0,1,296,1,1
"297",-5423.62,-2.84272,1.31634,2.55611,3.78666,3.14266,0.711396,1.41465,1,0,0,1,297,1,1
"298",-5417.99,-1.02825,1.31757,3.00872,3.7406,3.06172,0.702394,1.4254,1,0,0,1,298,1,1
"299",-5417.2,-0.904758,1.32525,2.77489,3.81979,3.05092,0.695456,1.43691,1,0,0,1,299,1,1
"300",-5415.02,-3.25087,1.32815,2.92312,3.72061,3.29962,0.699471,1.43424,1,0,0,1,300,1,1
"301",-5420.72,-4.88673,1.34116,3.05269,3.69834,3.0575,0.688464,1.42313,1,0,0,1,301,1,1
"302",-5422.77,-2.7063,1.34046,2.65228,3.74862,2.98801,0.703889,1.44352,1,0,0,1,302,1,1
"303",-5415.93,-2.66599,1.31697,3.03232,3.87704,3.14978,0.697479,1.43982,1,0,0,1,303,1,1
"304",-5412.15,-6.45943,1.31284,2.7409,3.59705,2.93326,0.684266,1.44811,1,0,0,1,304,1,1
"305",-5417.57,-3.89522,1.30598,2.85173,3.60374,2.92225,0.709093,1.43186,1,0,0,1,305,1,1
"306",-5414.7,-1.17215,1.31349,2.95076,3.7754,3.10544,0.698751,1.43469,1,0,0,1,306,1,1
"307",-5416.69,-2.93246,1.32771,2.95085,3.68237,3.23906,0.695861,1.42393,1,0,0,1,307,1,1
"308",-5435.78,-5.95165,1.32414,2.73241,3.81856,3.12172,0.716077,1.39632,1,0,0,1,308,1,1
"309",-5412.37,-1.33348,1.31933,2.84928,3.72592,3.1266,0.696057,1.44399,1,0,0,1,309,1,1
"310",-5421.04,-0.832291,1.32492,2.83577,3.84003,3.11472,0.702459,1.4233,1,0,0,1,310,1,1
"311",-5424.61,-5.36218,1.30713,2.48271,3.86364,3.03693,0.695195,1.4129,1,0,0,1,311,1,1
"312",-5414.27,-0.601173,1.31875,2.74877,3.76065,3.10202,0.696695,1.43484,1,0,0,1,312,1,1
"313",-5419.11,-1.50874,1.32915,2.86707,3.74791,3.19054,0.712407,1.4296,1,0,0,1,313,1,1
"314",-5420.49,-1.8263,1.3263,2.82627,3.89817,3.17698,0.707177,1.43652,1,0,0,1,314,1,1
"315",-5427.15,-6.41623,1.33185,2.48486,3.67636,3.08304,0.72911,1.4382,1,0,0,1,315,1,1
"316",-5415.9,-3.8755,1.32487,2.91946,3.56938,3.25746,0.700608,1.43277,1,0,0,1,316,1,1
"317",-5412.44,-3.92235,1.324,2.97407,3.71469,3.11203,0.688023,1.45155,1,0,0,1,317,1,1
"318",-5415.73,-3.55942,1.32482,2.67142,3.56663,3.17274,0.693795,1.42409,1,0,0,1,318,1,1
"319",-5430.69,-4.81058,1.32091,2.65677,3.87581,3.11792,0.727164,1.4411,1,0,0,1,319,1,1
"320",-5424.47,-3.90558,1.3381,2.91834,3.84747,3.22992,0.714836,1.43067,1,0,0,1,320,1,1
"321",-5423.08,-3.37224,1.33958,2.63118,3.63884,3.08942,0.715306,1.42727,1,0,0,1,321,1,1
"322",-5421.08,-2.60768,1.33411,2.78877,3.90607,3.17687,0.698863,1.429,1,0,0,1,322,1,1
"323",-5432.29,-5.14173,1.33327,2.56074,3.92644,3.07862,0.718344,1.44862,1,0,0,1,323,1,1
"324",-5421.09,-4.73625,1.34579,2.53198,3.67226,3.04829,0.705433,1.44481,1,0,0,1,324,1,1
"325",-5417.79,-3.36865,1.32879,3.04215,3.65866,2.9193,0.694912,1.43371,1,0,0,1,325,1,1
"326",-5431.46,-1.79762,1.32579,2.87144,3.86831,2.96651,0.712724,1.43029,1,0,0,1,326,1,1
"327",-5423.48,-1.79808,1.33036,2.83903,3.71257,2.96132,0.713342,1.44025,1,0,0,1,327,1,1
"328",-5429.87,-5.95841,1.29787,2.6802,3.75719,2.91413,0.716155,1.42084,1,0,0,1,328,1,1
"329",-5418.67,-2.03443,1.32049,2.51044,3.83215,3.13007,0.699241,1.4307,1,0,0,1,329,1,1
"330",-5427.67,-1.99179,1.31506,2.67406,3.82881,3.0543,0.716898,1.42475,1,0,0,1,330,1,1
"331",-5430.15,-2.54884,1.31676,2.8739,3.89505,3.07219,0.716957,1.42331,1,0,0,1,331,1,1
"332",-5417.67,-1.63537,1.33356,2.93559,3.81069,3.10839,0.696865,1.43621,1,0,0,1,332,1,1
"333",-5424.5,-3.45929,1.33248,2.45042,3.74501,3.14247,0.71336,1.42537,1,0,0,1,333,1,1
"334",-5416.28,-0.858774,1.32517,2.74681,3.74036,3.08749,0.707175,1.44602,1,0,0,1,334,1,1
"335",-5415.05,-2.81675,1.31911,2.75186,3.86339,3.27382,0.700756,1.43165,1,0,0,1,335,1,1
"336",-5420.01,-2.56578,1.32477,2.63846,3.69903,2.99612,0.713158,1.4507,1,0,0,1,336,1,1
"337",-5414.12,-1.97433,1.32336,2.56175,3.72287,3.11246,0.693283,1.43766,1,0,0,1,337,1,1
"338",-5422.97,-3.43012,1.31875,2.44951,3.85307,3.03749,0.694675,1.42501,1,0,0,1,338,1,1
"339",-5417.52,-4.07562,1.33556,2.74692,3.71128,3.02634,0.683644,1.42736,1,0,0,1,339,1,1
"340",-5426.24,-1.26107,1.31941,2.70231,3.83416,3.03774,0.706969,1.41804,1,0,0,1,340,1,1
"341",-5426.02,-4.8048,1.34391,2.64571,3.70833,3.11047,0.69579,1.41134,1,0,0,1,341,1,1
"342",-5415.58,-0.814208,1.3204,2.86251,3.79549,3.15884,0.699304,1.42979,1,0,0,1,342,1,1
"343",-5416.02,-1.31115,1.33148,2.64072,3.75142,3.13609,0.698328,1.43643,1,0,0,1,343,1,1
"344",-5421.78,-1.15487,1.32328,2.587,3.84524,3.05166,0.701651,1.43329,1,0,0,1,344,1,1
"345",-5423.18,-1.60135,1.31898,2.78793,3.91159,3.06068,0.699667,1.42456,1,0,0,1,345,1,1
"346",-5423.46,-3.3412,1.32552,3.02047,3.78633,3.01208,0.693779,1.4113,1,0,0,1,346,1,1
"347",-5419.39,-4.08533,1.31822,3.05912,3.62633,2.9079,0.711018,1.44317,1,0,0,1,347,1,1
"348",-5418.33,-2.53172,1.31971,2.73184,3.73485,2.93637,0.702592,1.45229,1,0,0,1,348,1,1
"349",-5429.69,-2.54409,1.33724,2.98211,3.82382,3.06479,0.711774,1.4225,1,0,0,1,349,1,1
"350",-5412.46,-4.56678,1.30605,2.54181,3.64134,3.21614,0.708456,1.441,1,0,0,1,350,1,1
"351",-5413.91,-3.70247,1.33193,2.61117,3.55349,3.13048,0.708273,1.44235,1,0,0,1,351,1,1
"352",-5419.84,-2.43231,1.32536,2.97354,3.63489,3.10343,0.716685,1.42596,1,0,0,1,352,1,1
"353",-5423.9,-2.07084,1.32928,3.05911,3.73006,3.06421,0.714817,1.42801,1,0,0,1,353,1,1
"354",-5423.5,-0.882888,1.32803,2.88094,3.8486,3.09513,0.707635,1.42808,1,0,0,1,354,1,1
"355",-5416.42,-3.45664,1.33728,3.04783,3.76757,3.09687,0.69582,1.44725,1,0,0,1,355,1,1
"356",-5417.21,-1.00804,1.31304,2.66647,3.77129,3.07354,0.706751,1.44008,1,0,0,1,356,1,1
"357",-5422.3,-4.33496,1.32468,2.9452,3.90805,3.19011,0.715447,1.45055,1,0,0,1,357,1,1
"358",-5436.54,-3.39078,1.33387,2.8056,3.8129,2.92434,0.707976,1.41221,1,0,0,1,358,1,1
"359",-5420.58,-5.0297,1.33423,2.3622,3.79347,3.11328,0.69376,1.43656,1,0,0,1,359,1,1
"360",-5419.83,-4.72651,1.34579,2.85914,3.66116,3.24338,0.703072,1.42886,1,0,0,1,360,1,1
"361",-5419.28,-0.486755,1.32583,2.8597,3.73896,3.03038,0.700318,1.42506,1,0,0,1,361,1,1
"362",-5418.64,-0.829269,1.32548,2.73957,3.70515,2.96653,0.702216,1.43637,1,0,0,1,362,1,1
"363",-5416.46,-1.91132,1.32751,2.63097,3.65611,3.02934,0.693599,1.42785,1,0,0,1,363,1,1
"364",-5421.29,-6.19291,1.32885,3.35465,3.68408,3.24118,0.700555,1.43009,1,0,0,1,364,1,1
"365",-5417.45,-1.67267,1.32552,2.51946,3.70889,3.09401,0.698653,1.42831,1,0,0,1,365,1,1
"366",-5415.92,-1.54523,1.32625,2.91559,3.64665,3.17021,0.702876,1.42606,1,0,0,1,366,1,1
"367",-5432.84,-4.32591,1.31666,2.73305,3.94034,3.09057,0.723202,1.43755,1,0,0,1,367,1,1
"368",-5423.46,-2.71931,1.32986,3.12152,3.75863,2.9661,0.708404,1.44007,1,0,0,1,368,1,1
"369",-5422.07,-4.11818,1.3388,3.07054,3.86785,3.19181,0.699064,1.42736,1,0,0,1,369,1,1
"370",-5421.17,-0.96589,1.32975,2.86334,3.79354,3.0063,0.705349,1.44157,1,0,0,1,370,1,1
"371",-5418.4,-2.42068,1.3371,3.03008,3.68314,3.08264,0.698172,1.4308,1,0,0,1,371,1,1
"372",-5414.35,-2.68416,1.33496,2.91226,3.71743,3.13695,0.698703,1.44985,1,0,0,1,372,1,1
"373",-5420.38,-1.19888,1.33576,2.78316,3.80266,3.11546,0.70096,1.4298,1,0,0,1,373,1,1
"374",-5415.03,-1.97188,1.31731,2.97941,3.83496,3.13396,0.699133,1.44414,1,0,0,1,374,1,1
"375",-5427.07,-2.34928,1.32812,2.92973,3.93684,3.11423,0.707207,1.4256,1,0,0,1,375,1,1
"376",-5416.24,-0.825146,1.3141,2.95632,3.7475,3.06676,0.703658,1.43435,1,0,0,1,376,1,1
"377",-5424.51,-3.16283,1.34125,2.94784,3.86155,3.04467,0.704045,1.44305,1,0,0,1,377,1,1
"378",-5413.77,-4.51139,1.32457,2.57117,3.6782,3.05739,0.683035,1.44056,1,0,0,1,378,1,1
"379",-5418.02,-2.57389,1.33278,2.74323,3.76594,2.96988,0.690142,1.4378,1,0,0,1,379,1,1
"380",-5424.37,-2.41686,1.32895,3.07959,3.72994,2.93584,0.705549,1.42814,1,0,0,1,380,1,1
"381",-5422.98,-1.83669,1.32816,2.95024,3.87621,3.09678,0.69959,1.42183,1,0,0,1,381,1,1
"382",-5413.85,-3.37047,1.32006,2.96602,3.5563,3.17725,0.706801,1.43976,1,0,0,1,382,1,1
"383",-5432.63,-2.72759,1.33106,2.83007,3.89451,3.01436,0.703887,1.41331,1,0,0,1,383,1,1
"384",-5416.43,-0.715843,1.3262,2.92948,3.69173,3.07704,0.7067,1.43765,1,0,0,1,384,1,1
"385",-5418.02,-0.475443,1.31847,2.73788,3.7823,3.06486,0.699294,1.42579,1,0,0,1,385,1,1
"386",-5419.35,-1.45182,1.31012,2.71082,3.8405,3.06329,0.700636,1.42681,1,0,0,1,386,1,1
"387",-5431.8,-2.06785,1.33111,2.81698,3.86878,3.06056,0.713031,1.41941,1,0,0,1,387,1,1
"388",-5422.17,-5.94417,1.30673,3.00176,3.67834,3.08666,0.727756,1.43821,1,0,0,1,388,1,1
"389",-5433.41,-3.29318,1.32382,2.55312,3.89305,2.97426,0.714754,1.44037,1,0,0,1,389,1,1
"390",-5422.23,-3.25431,1.3346,3.11028,3.75966,3.00006,0.708129,1.44621,1,0,0,1,390,1,1
"391",-5416.15,-4.33516,1.30249,2.96622,3.61199,2.95267,0.703576,1.42758,1,0,0,1,391,1,1
"392",-5418.59,-2.1662,1.31816,3.03841,3.71753,3.08834,0.698906,1.41634,1,0,0,1,392,1,1
"393",-5418,-0.991664,1.32973,2.6787,3.71825,3.00849,0.701784,1.44042,1,0,0,1,393,1,1
"394",-5421.36,-2.21172,1.32691,2.90069,3.66894,3.01051,0.717951,1.43932,1,0,0,1,394,1,1
"395",-5428.46,-1.89105,1.32959,2.71322,3.84636,2.96671,0.710772,1.44153,1,0,0,1,395,1,1
"396",-5418.93,-3.1485,1.33552,2.77538,3.90404,3.19641,0.697154,1.43546,1,0,0,1,396,1,1
"397",-5413.47,-1.33389,1.3272,2.75308,3.68878,3.14705,0.694906,1.43634,1,0,0,1,397,1,1
"398",-5417.5,-1.79747,1.3176,3.00911,3.72117,3.05618,0.710975,1.44488,1,0,0,1,398,1,1
"399",-5414.3,-2.22399,1.32022,2.88625,3.7416,3.11612,0.705531,1.45501,1,0,0,1,399,1,1
"400",-5437.81,-3.45197,1.32149,2.64541,3.86529,2.87621,0.71225,1.42614,1,0,0,1,400,1,1
"401",-5421.51,-3.34324,1.32607,2.87819,3.74461,3.24598,0.715631,1.41724,1,0,0,1,401,1,1
"402",-5420.86,-2.66346,1.34146,2.7948,3.67501,3.11186,0.712683,1.43495,1,0,0,1,402,1,1
"403",-5416.62,-1.41207,1.32458,2.90735,3.82314,3.09514,0.69304,1.42974,1,0,0,1,403,1,1
"404",-5418.66,-3.03591,1.33029,2.95294,3.72258,2.91722,0.691899,1.43377,1,0,0,1,404,1,1
"405",-5419.12,-2.01541,1.30736,2.68014,3.72449,3.08008,0.71319,1.42721,1,0,0,1,405,1,1
"406",-5424.52,-5.82925,1.33045,3.38877,3.8524,3.03733,0.697318,1.42986,1,0,0,1,406,1,1
"407",-5423.83,-0.951052,1.32973,2.88849,3.82468,3.00856,0.701892,1.42739,1,0,0,1,407,1,1
"408",-5422.63,-1.03325,1.32707,2.95205,3.81065,3.04841,0.702,1.42253,1,0,0,1,408,1,1
"409",-5421.69,-2.44952,1.3381,2.657,3.67046,3.10621,0.702847,1.41954,1,0,0,1,409,1,1
"410",-5423.14,-1.34207,1.3156,2.77271,3.84855,3.02195,0.700979,1.4205,1,0,0,1,410,1,1
"411",-5421.78,-3.55508,1.30336,2.64764,3.69244,2.94726,0.708705,1.42333,1,0,0,1,411,1,1
"412",-5424.67,-4.29559,1.32537,3.33771,3.81979,3.076,0.706038,1.42757,1,0,0,1,412,1,1
"413",-5424.8,-4.33841,1.31253,2.83381,3.97514,3.12255,0.698791,1.41426,1,0,0,1,413,1,1
"414",-5418.15,-4.00851,1.31056,2.8137,3.90368,3.11257,0.703324,1.45592,1,0,0,1,414,1,1
"415",-5418.3,-1.92731,1.32933,2.5136,3.74257,3.06344,0.702097,1.44197,1,0,0,1,415,1,1
"416",-5418.73,-0.882349,1.32399,2.82625,3.65537,2.9965,0.705394,1.42636,1,0,0,1,416,1,1
"417",-5425,-2.36508,1.34061,2.92295,3.78202,3.05243,0.711143,1.43755,1,0,0,1,417,1,1
"418",-5420.99,-1.22435,1.33005,2.96314,3.73356,2.99015,0.707024,1.43748,1,0,0,1,418,1,1
"419",-5422.66,-2.39404,1.33066,2.92847,3.88749,3.15255,0.710845,1.44042,1,0,0,1,419,1,1
"420",-5416.45,-3.67184,1.31427,2.9204,3.9059,3.0332,0.688466,1.43803,1,0,0,1,420,1,1
"421",-5417.92,-3.81429,1.30749,2.8019,3.93111,3.1519,0.702632,1.44637,1,0,0,1,421,1,1
"422",-5420.57,-3.56067,1.32813,2.63066,3.56104,3.03816,0.713727,1.42012,1,0,0,1,422,1,1
"423",-5418.96,-1.85467,1.3076,2.75668,3.79272,3.13067,0.711841,1.42886,1,0,0,1,423,1,1
"424",-5426.49,-2.16896,1.33259,2.51093,3.77822,3.0617,0.710809,1.42808,1,0,0,1,424,1,1
"425",-5430.76,-3.54695,1.34395,2.66619,3.72318,2.98641,0.706336,1.41854,1,0,0,1,425,1,1
"426",-5414.76,-3.18345,1.31783,2.78513,3.6452,3.12734,0.687502,1.42208,1,0,0,1,426,1,1
"427",-5424.2,-2.60203,1.31302,2.88474,3.92996,3.12665,0.707431,1.42318,1,0,0,1,427,1,1
"428",-5414.98,-1.22014,1.31623,2.83111,3.63266,3.01533,0.701041,1.42861,1,0,0,1,428,1,1
"429",-5427.3,-3.58174,1.32168,3.17077,3.86517,3.11315,0.714077,1.42395,1,0,0,1,429,1,1
"430",-5418.13,-2.39691,1.32781,2.49462,3.7691,3.18889,0.703231,1.42955,1,0,0,1,430,1,1
"431",-5420.17,-0.642293,1.32561,2.761,3.82896,3.11519,0.708286,1.43675,1,0,0,1,431,1,1
"432",-5420.08,-1.70753,1.32147,2.71796,3.87123,3.17122,0.701475,1.42186,1,0,0,1,432,1,1
"433",-5427.98,-2.81439,1.32431,3.08965,3.739,2.97858,0.714507,1.42111,1,0,0,1,433,1,1
"434",-5413.04,-2.50074,1.30914,2.82516,3.60827,3.00334,0.70167,1.43962,1,0,0,1,434,1,1
"435",-5425.18,-3.12459,1.3088,2.68976,3.80944,2.89058,0.700843,1.42783,1,0,0,1,435,1,1
"436",-5417.51,-4.10572,1.30206,2.95361,3.68514,2.97127,0.708928,1.44545,1,0,0,1,436,1,1
"437",-5430.06,-2.62133,1.31661,2.86443,3.7986,2.88217,0.709018,1.4237,1,0,0,1,437,1,1
"438",-5419.52,-7.34882,1.31624,2.44312,3.65626,3.28445,0.712718,1.40928,1,0,0,1,438,1,1
"439",-5419.42,-2.91517,1.32861,2.83469,3.7386,2.95782,0.705983,1.45581,1,0,0,1,439,1,1
"440",-5426.25,-4.44041,1.30955,2.74962,3.90966,2.89117,0.69864,1.44331,1,0,0,1,440,1,1
"441",-5433.84,-4.9895,1.32136,3.05405,3.80729,3.00027,0.727893,1.43364,1,0,0,1,441,1,1
"442",-5425.92,-3.23042,1.31122,2.52439,3.90447,3.0922,0.710627,1.43187,1,0,0,1,442,1,1
"443",-5421.39,-1.65782,1.31557,2.80671,3.71872,2.9096,0.704686,1.43113,1,0,0,1,443,1,1
"444",-5418.94,-0.757459,1.32195,2.7795,3.74486,2.99525,0.69743,1.42528,1,0,0,1,444,1,1
"445",-5418.41,-1.9768,1.31998,2.76354,3.85201,3.1551,0.695704,1.41938,1,0,0,1,445,1,1
"446",-5412.15,-1.73115,1.31865,2.72716,3.72428,3.10118,0.693861,1.4462,1,0,0,1,446,1,1
"447",-5430.14,-3.17301,1.33318,2.86524,3.73329,3.0672,0.713225,1.40846,1,0,0,1,447,1,1
"448",-5416.74,-1.43802,1.32445,2.99147,3.66409,3.14014,0.704048,1.4254,1,0,0,1,448,1,1
"449",-5435.42,-6.03488,1.33875,3.1205,3.78821,2.89775,0.70178,1.41138,1,0,0,1,449,1,1
"450",-5419.65,-5.16705,1.32628,2.43748,3.58499,2.95129,0.710106,1.44428,1,0,0,1,450,1,1
"451",-5413.43,-1.7011,1.32076,2.67249,3.66678,3.09801,0.691975,1.43187,1,0,0,1,451,1,1
"452",-5418.39,-1.81502,1.31677,3.04094,3.68225,2.98069,0.703412,1.42747,1,0,0,1,452,1,1
"453",-5418.64,-2.28764,1.32019,2.90341,3.71199,3.11608,0.719022,1.443,1,0,0,1,453,1,1
"454",-5416.61,-0.730282,1.32614,2.70669,3.75553,3.16559,0.707137,1.43472,1,0,0,1,454,1,1
"455",-5416.36,-0.301768,1.32163,2.85597,3.72906,3.06006,0.7054,1.43901,1,0,0,1,455,1,1
"456",-5431.11,-2.82248,1.3311,2.53246,3.77826,2.97066,0.715584,1.43317,1,0,0,1,456,1,1
"457",-5415.4,-2.55616,1.32304,2.85121,3.62644,3.02548,0.711621,1.45056,1,0,0,1,457,1,1
"458",-5432.55,-5.06088,1.32105,3.07603,3.72736,3.00545,0.71937,1.40744,1,0,0,1,458,1,1
"459",-5421.37,-7.59373,1.3205,2.52373,3.63189,3.23923,0.691189,1.40315,1,0,0,1,459,1,1
"460",-5426.84,-4.11276,1.34338,2.80397,3.74822,3.19057,0.712981,1.41771,1,0,0,1,460,1,1
"461",-5421.23,-2.22372,1.32948,3.02598,3.80884,3.1492,0.700459,1.41929,1,0,0,1,461,1,1
"462",-5416.18,-3.58658,1.32989,2.74377,3.61494,3.2442,0.715331,1.42966,1,0,0,1,462,1,1
"463",-5425.66,-4.37542,1.34356,2.96349,3.65987,2.94512,0.712133,1.43735,1,0,0,1,463,1,1
"464",-5415.3,-2.46712,1.3179,2.79294,3.74549,3.27507,0.710314,1.42865,1,0,0,1,464,1,1
"465",-5416.49,-2.4293,1.31968,2.64601,3.69874,3.14611,0.693685,1.41676,1,0,0,1,465,1,1
"466",-5413.99,-3.21787,1.33303,2.72625,3.65662,3.25313,0.698868,1.44045,1,0,0,1,466,1,1
"467",-5416.96,-1.97218,1.32873,2.67836,3.59206,3.0599,0.701556,1.42404,1,0,0,1,467,1,1
"468",-5416.4,-4.7318,1.33982,3.0414,3.7808,3.1905,0.691336,1.44192,1,0,0,1,468,1,1
