"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"53",-1023.99,-4.45136,1.79498,0.947051,0.39359,2.87525,0.610649,0.999825,1.45114,1,0,1,53,53
"54",-1023.51,-1.99372,1.81945,1,0.402571,2.74931,0.640188,0.90936,1.44534,1,0,1,54,54
"55",-1025.02,-1.87511,1.80628,1.01452,0.357885,2.80775,0.653828,1.00035,1.47627,1,0,1,55,55
"56",-1024.44,-3.02567,1.79871,1.01578,0.344538,2.70465,0.640675,1.03152,1.49744,1,0,1,56,56
"57",-1022.66,-2.08635,1.82184,1.03487,0.415213,2.67337,0.636617,0.965924,1.47292,1,0,1,57,57
"58",-1023.47,-3.97494,1.7696,0.974196,0.38617,2.81801,0.632365,0.946165,1.42847,1,0,1,58,58
"59",-1032.53,-3.442,1.80183,1.03798,0.30507,2.71438,0.611886,0.92855,1.43625,1,0,1,59,59
"60",-1028.84,-6.21841,1.8359,0.970371,0.282739,2.67356,0.671801,0.9985,1.51043,1,0,1,60,60
"61",-1023.18,-1.29956,1.79718,0.969217,0.359072,2.72486,0.625847,0.988207,1.45343,1,0,1,61,61
"62",-1023.4,-2.82831,1.82006,1.01765,0.389403,2.77999,0.63494,0.94783,1.42414,1,0,1,62,62
"63",-1022.51,-1.1272,1.79256,0.970865,0.366524,2.75824,0.599496,0.985594,1.46373,1,0,1,63,63
"64",-1057.34,-3.09985,1.76329,1.03161,0.395215,2.80088,0.626649,0.938783,1.46084,1,0,1,64,64
"65",-1025.48,-3.94121,1.85839,1.02674,0.418864,2.71579,0.608245,1.02457,1.47545,1,0,1,65,65
"66",-1025.92,-2.05527,1.83071,0.988318,0.409524,2.65995,0.622773,1.0011,1.48495,1,0,1,66,66
"67",-1025.85,-7.56081,1.77576,0.992298,0.470153,2.77325,0.672618,0.96032,1.41508,1,0,1,67,67
"68",-1024.98,-5.24828,1.81916,0.930412,0.397453,2.86812,0.628012,0.958107,1.50248,1,0,1,68,68
"69",-1023.87,-2.8364,1.80497,1.01572,0.425147,2.71265,0.61259,0.960348,1.42916,1,0,1,69,69
"70",-1023.91,-2.0031,1.82101,0.956241,0.355366,2.78391,0.656367,0.946371,1.46046,1,0,1,70,70
"71",-1025.67,-1.82782,1.81173,0.968134,0.37209,2.65523,0.580355,0.970153,1.45449,1,0,1,71,71
"72",-1031.23,-5.86083,1.82049,1.00355,0.42242,2.67168,0.708088,0.968796,1.42996,1,0,1,72,72
"73",-1023.86,-1.68689,1.81982,1.00248,0.330494,2.66782,0.627559,0.998482,1.45282,1,0,1,73,73
"74",-1059.22,-5.59937,1.78245,1.0655,0.353468,2.85366,0.616296,1.02144,1.46593,1,0,1,74,74
"75",-1045.03,-6.324,1.83957,1.07538,0.419744,2.78347,0.618145,1.02712,1.46103,1,0,1,75,75
"76",-1025.56,-3.1675,1.83555,1.00045,0.343364,2.65212,0.649729,0.990886,1.51185,1,0,1,76,76
"77",-1025.49,-1.96736,1.81434,0.950261,0.372985,2.72216,0.611621,0.997174,1.46133,1,0,1,77,77
"78",-1022.15,-1.3277,1.82116,1.01355,0.387293,2.76097,0.631476,0.973195,1.44398,1,0,1,78,78
"79",-1022.27,-1.29721,1.82966,0.984159,0.360519,2.79273,0.639509,0.994497,1.46425,1,0,1,79,79
"80",-1026.28,-6.56318,1.8696,1.00229,0.344201,2.75537,0.53299,0.940722,1.51609,1,0,1,80,80
"81",-1028.54,-4.30604,1.81635,0.973315,0.421334,2.72652,0.687394,0.900193,1.45352,1,0,1,81,81
"82",-1026.07,-3.85124,1.82976,1.0203,0.341684,2.75718,0.661016,0.941339,1.42033,1,0,1,82,82
"83",-1026.42,-2.71932,1.78078,1.02968,0.37829,2.73799,0.613146,1.02316,1.46713,1,0,1,83,83
"84",-1023.88,-1.36242,1.80459,0.991341,0.336166,2.68115,0.657043,0.972489,1.48179,1,0,1,84,84
