"matrix.NA..ncol...1..nrow...length.rt_test.id..2.","treatment","speed","precision","target_a","comp_a","dec_a","bias_a","target_s","comp_s","dec_s","bias_s","target_c","comp_c","dec_c","bias_c","stay"
NA,1,2.84326995066851,0.732980650447576,0.472092143040143,0.426893606379721,0.101014250580136,0.221207955796827,0.333866745127991,0.333510118805446,0.332623136066562,0.0233667822484757,0.336822132737882,0.337657021183557,0.325520846078561,0.0548137719076543,1.1948489585
NA,1,2.76784843900538,0.667114148647758,0.430088713921492,0.401007196463068,0.168904089615439,0.207465325381939,0.332883281329758,0.332397688550272,0.334719030119971,0.0259586533294577,0.319958988325531,0.324860152474958,0.355180859199511,0.0633138161652537,0.819860017
NA,1,4.86286416226989,0.690833805973012,0.45889291810115,0.429208432586248,0.111898649312602,0.257283868073519,0.3357056577135,0.335942331073151,0.328352011213349,0.0235679627639916,0.373536195725882,0.365940677106721,0.260523127167397,0.0836241851303381,0.527308287
NA,1,3.32834033552892,0.734735776248766,0.448015472177423,0.423090459978409,0.128894067844168,0.186272893669692,0.33040630737733,0.329125254078565,0.340468438544104,0.0264204669376127,0.263728732121445,0.279419841909362,0.456851425969193,0.104549585843903,0.9532201605
NA,1,1.05210628754715,0.889937062121805,0.50067574950541,0.440788859545589,0.0585353909490012,0.152822295881473,0.328322967653796,0.321856103526569,0.349820928819634,0.0356998306120601,0.176522821895189,0.240525138968901,0.58295203913591,0.126137645022562,0.875525842
NA,1,3.05476778073628,0.692577490104479,0.440429788049704,0.391931656967903,0.167638554982393,0.181197548176307,0.33260806347415,0.331720842406513,0.335671094119337,0.023468276892214,0.313715451602993,0.323368321126862,0.362916227270146,0.0560275399717607,0.61689648
NA,1,4.05188080002775,0.619077571013884,0.406660487695144,0.384359074732537,0.20898043757232,0.217146670124904,0.333478872382662,0.333222481164351,0.333298646452987,0.0357243763884875,0.332232073467338,0.333596316648642,0.33417160988402,0.0833592856712968,0.884290312
NA,1,2.44924083855826,0.90996432949599,0.549857784397329,0.446117829399546,0.00402438620312488,0.227099056085116,0.346290355243358,0.332871294536276,0.320838350220366,0.0667117997470209,0.352981267923303,0.375686029740052,0.271332702336645,0.155316191974826,1.088297424
NA,1,4.33373153065442,0.683988860068299,0.446852951320499,0.406255421497973,0.146891627181528,0.216521237291301,0.333773570172938,0.33376870515375,0.332457724673312,0.0177773529430749,0.339663184181253,0.338134186742756,0.322202629075991,0.0413187532277053,0.532542852
NA,1,3.97444836097935,0.732607590767207,0.467257885658441,0.425169890825262,0.107572223516298,0.238861428392923,0.33893153766688,0.330071197212831,0.330997265120289,0.104929797277509,0.305540470060685,0.348051747321284,0.346407782618031,0.246065365029636,0.671866415
NA,1,2.18214403187251,0.642474339557622,0.431214044308093,0.374404505786798,0.194381449905108,0.207301494934085,0.334712318150536,0.335667097002343,0.329620584847122,0.0345904557228313,0.356748038000138,0.342534477315497,0.300717484684365,0.0778485831833923,1.72689279
NA,1,4.22586898286818,0.677723949253301,0.450473291073014,0.405135381897051,0.144391327029935,0.262999669189011,0.339818892901399,0.333375197401026,0.326805909697575,0.129320277541253,0.346095141295803,0.360103970768941,0.293800887935256,0.285822597899382,2.0962900775
NA,1,5.29863324876964,0.6748214197483,0.424637536490277,0.39577945889255,0.179583004617173,0.282009996401815,0.34452376003212,0.32550656932257,0.32996967064531,0.208833465646313,0.271522260406935,0.35647777667479,0.371999962918275,0.470851035499183,0.6143576865
NA,1,3.3754205391513,0.696943941860637,0.444232859892489,0.418249579031621,0.13751756107589,0.212518238291516,0.332325146962662,0.33199209482483,0.335682758212508,0.0119536727534723,0.311777714872038,0.316463360822328,0.371758924305634,0.0412425129425279,2.2232167155
