"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw"
"57",-285.734,-3.80836,1.89725,0.931012,0.683613,3.64744,0.678612,1.5253,1,0,0,1,57,57
"58",-291.042,-5.71395,1.92488,0.949175,0.843922,3.50258,0.688568,1.49414,1,0,0,1,58,58
"59",-286.348,-4.11208,1.89089,1.02127,0.404092,3.46947,0.654245,1.51656,1,0,0,1,59,59
"60",-284.553,-2.57127,1.84512,0.908379,0.433534,3.46764,0.69877,1.45217,1,0,0,1,60,60
"61",-283.315,-1.2641,1.9061,0.983655,0.519879,3.39868,0.691442,1.46637,1,0,0,1,61,61
"62",-284.629,-3.95631,1.91753,1.01383,0.5288,3.36524,0.666029,1.44353,1,0,0,1,62,62
"63",-283.668,-0.450099,1.92009,0.935347,0.534519,3.5114,0.699389,1.47599,1,0,0,1,63,63
"64",-290.146,-5.30693,1.86725,0.908814,0.788083,3.54273,0.687171,1.51825,1,0,0,1,64,64
"65",-283.286,-1.78008,1.84303,0.986995,0.517746,3.47873,0.679137,1.47157,1,0,0,1,65,65
"66",-284.148,-3.31528,1.90556,0.917331,0.536321,3.75037,0.648903,1.47197,1,0,0,1,66,66
"67",-284.858,-1.73432,1.89351,0.956464,0.64825,3.50202,0.677346,1.46044,1,0,0,1,67,67
"68",-284.691,-3.25607,1.85259,0.961017,0.382105,3.36834,0.705971,1.4873,1,0,0,1,68,68
"69",-284.196,-2.06087,1.90081,0.939998,0.486914,3.60564,0.637217,1.50702,1,0,0,1,69,69
"70",-283.582,-3.34135,1.91519,1.04639,0.480451,3.44213,0.688065,1.47035,1,0,0,1,70,70
"71",-285.736,-4.26725,1.83772,0.913397,0.470185,3.39322,0.620429,1.48584,1,0,0,1,71,71
"72",-283.824,-1.38318,1.89453,0.976105,0.508103,3.38148,0.727759,1.49612,1,0,0,1,72,72
"73",-285.049,-3.12107,1.87825,0.949165,0.430866,3.7132,0.743399,1.46454,1,0,0,1,73,73
"74",-285.934,-3.81639,1.85025,0.938397,0.402717,3.65191,0.746586,1.45904,1,0,0,1,74,74
"75",-292.204,-5.80726,1.88149,0.898399,0.620488,3.26239,0.63452,1.45693,1,0,0,1,75,75
"76",-284.013,-3.45457,1.84813,0.940003,0.385316,3.43803,0.651297,1.46863,1,0,0,1,76,76
"77",-288.803,-3.72611,1.86238,1.01033,0.439531,3.66586,0.721517,1.45446,1,0,0,1,77,77
"78",-285.873,-5.51192,1.82445,1.00445,0.615275,3.44221,0.765433,1.46512,1,0,0,1,78,78
"79",-285.316,-2.72532,1.89917,0.895429,0.567304,3.60014,0.763406,1.49929,1,0,0,1,79,79
"80",-283.816,-2.81257,1.88853,0.996359,0.480742,3.52841,0.648244,1.44391,1,0,0,1,80,80
"81",-283.394,-1.01195,1.91725,0.963757,0.517696,3.41447,0.681787,1.49939,1,0,0,1,81,81
"82",-286.476,-3.81167,1.94707,0.960701,0.473599,3.5681,0.735746,1.43519,1,0,0,1,82,82
"83",-282.409,-0.130748,1.88123,0.951559,0.511311,3.53406,0.700446,1.4907,1,0,0,1,83,83
"84",-284.575,-4.34754,1.94628,1.04751,0.505154,3.54293,0.686637,1.5032,1,0,0,1,84,84
"85",-283.847,-3.11588,1.91853,0.975336,0.476781,3.31898,0.645119,1.48881,1,0,0,1,85,85
"86",-283.804,-1.94211,1.85222,0.907087,0.478561,3.56756,0.657244,1.46752,1,0,0,1,86,86
"87",-286.138,-4.02887,1.82849,0.931305,0.525289,3.75644,0.69941,1.49064,1,0,0,1,87,87
"88",-283.325,-1.45438,1.87071,0.956522,0.530303,3.49749,0.686159,1.44395,1,0,0,1,88,88
"89",-284.806,-2.03084,1.887,0.900942,0.581816,3.60953,0.665633,1.50955,1,0,0,1,89,89
"90",-284.128,-1.53514,1.84039,0.946043,0.496172,3.42917,0.692948,1.49757,1,0,0,1,90,90
"91",-283.309,-0.723007,1.92223,0.961666,0.552315,3.47413,0.695887,1.49164,1,0,0,1,91,91
"92",-288.559,-2.91429,1.88635,0.877243,0.569391,3.48124,0.763226,1.49006,1,0,0,1,92,92
"93",-284.907,-1.74744,1.92015,0.921737,0.480666,3.40515,0.650582,1.47554,1,0,0,1,93,93
