"twocluster","treatment","speed","precision","bias","stay","N"
1,1,3.64234282460806,0.688154907268414,0.214159586896761,0.746813424740909,1
1,2,3.55972436081453,0.705882044155799,0.229036596431449,0.806380198032895,1
1,3,3.20754086988151,0.663484819298066,0.187319152183686,0.819159249617094,1
2,1,2.27852906939455,0.767099510192916,0.226250887685756,1.39733010717105,1
2,2,1.37611894889297,0.897659354426946,0.199369781744608,0.9487160375,1
2,3,1.77102549236188,0.74939091330429,0.199720013307869,1.59652453891667,1
