"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"53",-9498.68,-4.66998,1.27759,0.933402,0.503831,3.91827,0.794068,1.05697,1.45827,1,0,1,53,53
"54",-9517.96,-4.29762,1.30301,0.92488,0.507967,3.09404,0.827585,1.09235,1.47925,1,0,1,54,54
"55",-9511.36,-2.57708,1.30042,0.941236,0.43206,3.41966,0.716838,1.03685,1.45745,1,0,1,55,55
"56",-9511.08,-4.34512,1.30069,0.966381,0.534106,3.00342,0.753026,1.08008,1.49358,1,0,1,56,56
"57",-9498.03,-1.80972,1.29207,0.877282,0.453242,3.44666,0.768479,1.04814,1.46411,1,0,1,57,57
"58",-9498.92,-2.42397,1.29609,0.919317,0.446079,3.29877,0.727187,1.10485,1.47012,1,0,1,58,58
"59",-9503.52,-1.7173,1.2771,0.896077,0.44,3.47022,0.750559,1.05728,1.4867,1,0,1,59,59
"60",-9521.94,-3.12858,1.30236,0.979644,0.489517,3.66117,0.762361,1.03944,1.47601,1,0,1,60,60
"61",-9502.19,-1.22564,1.27628,0.892414,0.466605,3.15612,0.760528,1.05119,1.48738,1,0,1,61,61
"62",-9521.36,-4.13041,1.30082,0.9587,0.424961,3.46976,0.726554,1.06823,1.44906,1,0,1,62,62
"63",-9525.96,-1.44864,1.27551,0.969469,0.508955,3.16172,0.718869,1.04912,1.47852,1,0,1,63,63
"64",-9485.4,-1.80426,1.28223,0.911635,0.470597,3.52244,0.776633,1.06784,1.45888,1,0,1,64,64
"65",-9539.61,-3.70852,1.27238,0.950773,0.522495,2.7499,0.720631,1.0596,1.48573,1,0,1,65,65
"66",-9522.22,-1.7577,1.28321,0.913297,0.438357,2.82914,0.736555,1.05764,1.46408,1,0,1,66,66
"67",-9593.12,-9.47829,1.28119,1.04571,0.40707,2.67932,0.674305,1.08658,1.46222,1,0,1,67,67
"68",-9496.42,-0.602102,1.28418,0.897489,0.456442,3.1861,0.749567,1.05054,1.46413,1,0,1,68,68
"69",-9527.42,-6.80835,1.3022,0.972811,0.484196,3.20422,0.718311,1.13783,1.45511,1,0,1,69,69
"70",-9508.48,-3.72965,1.27032,0.923569,0.493723,3.35311,0.719193,1.07627,1.44644,1,0,1,70,70
"71",-9510.44,-3.6422,1.29558,0.962144,0.444645,3.62698,0.8176,1.02671,1.46523,1,0,1,71,71
"72",-9503.1,-2.16818,1.29258,0.913283,0.427814,3.1823,0.704996,1.04922,1.45605,1,0,1,72,72
"73",-9524.52,-4.5284,1.25682,0.904048,0.466251,2.92591,0.715688,1.04707,1.49407,1,0,1,73,73
"74",-9514.57,-1.38886,1.2791,0.963003,0.459957,3.21121,0.716027,1.04268,1.45779,1,0,1,74,74
"75",-9613.82,-4.76566,1.27805,0.989078,0.414206,3.35729,0.672533,1.03463,1.45619,1,0,1,75,75
"76",-9484.18,-2.89224,1.29536,0.94434,0.535506,3.2612,0.796551,1.03623,1.46168,1,0,1,76,76
"77",-9528,-2.91429,1.27047,0.942599,0.534131,3.37755,0.716223,1.04382,1.45953,1,0,1,77,77
"78",-9599.57,-2.72029,1.27631,0.97584,0.487759,3.62759,0.710437,1.07348,1.46785,1,0,1,78,78
"79",-9508.38,-3.31424,1.29708,0.990199,0.499154,3.11229,0.804039,1.06437,1.45957,1,0,1,79,79
"80",-9530.44,-3.97965,1.25983,0.969244,0.438835,2.89464,0.705251,1.05452,1.48337,1,0,1,80,80
"81",-9515.12,-4.69016,1.31627,0.900372,0.442048,3.42202,0.69985,1.0744,1.47838,1,0,1,81,81
"82",-9498,-1.67687,1.27499,0.914599,0.440549,3.37227,0.769916,1.03996,1.48939,1,0,1,82,82
"83",-9504.67,-2.12899,1.29769,0.899121,0.442689,3.10376,0.710067,1.02329,1.46299,1,0,1,83,83
"84",-9525.4,-2.5115,1.29331,0.966506,0.464886,2.8992,0.800222,1.07734,1.47809,1,0,1,84,84
"85",-9506.52,-4.86868,1.30078,0.863102,0.50682,3.46237,0.815694,1.0645,1.48756,1,0,1,85,85
"86",-9484.95,-1.30797,1.29362,0.919322,0.465873,3.4786,0.779308,1.07097,1.47171,1,0,1,86,86
"87",-9505.95,-2.71932,1.27768,0.900042,0.434533,3.56662,0.792485,1.01854,1.47768,1,0,1,87,87
"88",-9497.43,-3.81686,1.25851,0.894551,0.477821,3.61119,0.783764,1.04493,1.47417,1,0,1,88,88
"89",-9521.8,-5.2354,1.2734,0.994227,0.487412,3.00754,0.765736,1.10182,1.49872,1,0,1,89,89
"90",-9533.9,-3.01714,1.27685,0.89521,0.469919,2.8036,0.746456,1.08515,1.48751,1,0,1,90,90
"91",-9516.02,-2.85531,1.27631,0.933328,0.501318,2.97998,0.713886,1.06226,1.45044,1,0,1,91,91
